"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Inception Date...4","Inception Month","Inception Year","Obsolete Type","US Category Group","Firm Name","Inception Date...8","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date","Same_Year"
"Vanguard Global Wellington Admiral",TRUE," Admiral","Admiral","Admiral","VGWAX",NA,NA,NA,2017-11-02,11,2017,NA,"Allocation","Vanguard",2017-11-02,2019-12-31,1001997727,"Inst","No",NA,NA,461518704.526,254857344.053,164799292.192,NA,NA,NA,NA,0.36,NA,NA
"Invesco Global Responsibility Equit A LW",TRUE," A LW","A","A","VSQAX.lw",2016-11-30,11,2016,2016-07-01,7,2016,"Liquidated","International Equity","Invesco",2016-07-01,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-01,1
"Voya Large-Cap Growth R6",TRUE," R6","R6","R6","VGOSX",NA,NA,NA,2015-06-02,6,2015,NA,"U.S. Equity","Voya",2015-06-02,2020-01-21,336870327,"Retirement","No",-16403004.258,-14692873.834,-8750891.204,199872218.698,19344621.831,NA,0.78,0.78,0.6,0.58,NA,NA
"HSBC Euro High Yield Bond USD H A LW",TRUE," A LW","A","A","HEYAX.lw",2016-11-30,11,2016,2016-01-19,1,2016,"Liquidated","Taxable Bond","HSBC",2016-01-19,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-19,1
"American Century Global Real Estate Y",TRUE," Y","Y","Y","ARYYX",NA,NA,NA,2017-04-10,4,2017,NA,"Sector Equity","American Century Investments",2017-04-10,2020-01-21,18081274,"Inst","No",NA,NA,18503.133,5654164.328,9691890.646,NA,NA,0.78,0.76,0.77,NA,NA
"American Century Small Cap Growth Y",TRUE," Y","Y","Y","ANOYX",NA,NA,NA,2017-04-10,4,2017,NA,"U.S. Equity","American Century Investments",2017-04-10,2020-01-21,11451181,"Inst","No",NA,NA,10162.836,2433988.662,7480025.429,NA,NA,1.01,0.92,0.93,NA,NA
"American Century NT Intl Sm-Md Cp G",TRUE," G","G","G","ANTMX",NA,NA,NA,2015-03-19,3,2015,NA,"International Equity","American Century Investments",2015-03-19,2020-01-21,225893513,"Inst","No",123421762.983,14142951.585,-35226815.593,87034961.995,-47778287.864,1.12,1.27,0.8,0,NA,NA,NA
"MainStay Absolute Return Multi-Strat Inv",TRUE," Inv","Inv","Investor",NA,2018-11-30,11,2018,2015-06-18,6,2015,"Liquidated","Alternative","MainStay",2015-06-18,2018-11-30,287579,"Inv","No",53340.784,1189837.163,-260158.25,NA,NA,NA,2.87,3.05,2.04,NA,2015-06-18,0
"Sterling Capital Stratton MdCp Val C",TRUE," C","C","C","STRNX",NA,NA,NA,2015-11-16,11,2015,NA,"U.S. Equity","Sterling Capital Funds",2015-11-16,2020-01-21,1505,"C","No",1045.413,0.908,7.694,17.518,6.119,1.64,1.95,1.89,1.95,1.95,NA,NA
"Baillie Gifford Long Term Global Gr E LW",TRUE," E LW","E","E",NA,2016-11-30,11,2016,2015-07-06,7,2015,"Liquidated","International Equity","Baillie Gifford Funds",2015-07-06,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,2015-07-06,0
"Baillie Gifford Emerging Markets Bond LW",TRUE," Bond LW","Bond","Bond",NA,2016-11-30,11,2016,2015-04-27,4,2015,"Liquidated","Taxable Bond","Baillie Gifford Funds",2015-04-27,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-27,0
"TCW Developing Markets Equity N",TRUE," N","N","N","TGDPX",NA,NA,NA,2015-06-30,6,2015,NA,"International Equity","TCW",2015-06-30,2020-01-21,1716427,"N","No",1505253.595,-6441.769,28471.915,18220.607,-15569.514,1.25,1.25,1.25,1.25,1.25,NA,NA
"WCM International Small Cap Growth Instl",TRUE," Instl","Instl","Instl","WCMSX",NA,NA,NA,2015-11-30,11,2015,NA,"International Equity","WCM Investment Management",2015-11-30,2020-01-21,48107149,"Inst","No",NA,811037.514,202437.648,9659587.849,29128503.421,NA,1.4,1.4,1.4,1.4,NA,NA
"PGIM Jennison Growth R2",TRUE," R2","R2","R2","PJFOX",NA,NA,NA,2017-11-28,11,2017,NA,"U.S. Equity","PGIM Funds (Prudential)",2017-11-28,2020-01-21,3595277,"Retirement","No",NA,NA,9945.009,7732228.558,-4638109.916,NA,NA,NA,1.1,1.1,NA,NA
"Gabelli Small Cap Growth T",TRUE," T","T","T",NA,2018-09-20,9,2018,2017-07-05,7,2017,"Liquidated","U.S. Equity","Gabelli",2017-07-05,2018-09-20,1160,"Other","No",NA,NA,995.25,NA,NA,NA,NA,1.37,NA,NA,2017-07-05,0
"JNL/Oppenheimer Emerging Markets Invtr A",TRUE," A","A","A",NA,NA,NA,NA,2015-04-27,4,2015,NA,"International Equity","Jackson National",2015-04-27,2020-01-21,43948803,"No Load","No",141033892.187,165728287.542,-350529855.582,8449745.377,-525585.673,1.46,1.47,1.44,1.45,NA,NA,NA
"Franklin CA Interm-Term Tx-Fr Inc A",TRUE," A","A","A","FCCQX",NA,NA,NA,2018-09-10,9,2018,NA,"Municipal Bond","Franklin Templeton Investments",2018-09-10,2019-12-31,177835830,"A","No",NA,NA,NA,57746963.777,116212117.248,NA,NA,NA,NA,0.74,NA,NA
"Rational NuWave Enhanced Mkt Opp A",TRUE," A","A","A","NUXAX",NA,NA,NA,2018-02-28,2,2018,NA,"Allocation","Rational Funds",2018-02-28,2020-01-21,11063928,"A","No",NA,NA,NA,6506493.893,2278576.007,NA,NA,NA,2.24,NA,NA,NA
"Goldman Sachs US Equity Insights R6",TRUE," R6","R6","R6","GSEUX",NA,NA,NA,2015-07-31,7,2015,NA,"U.S. Equity","Goldman Sachs",2015-07-31,2020-01-21,10042796,"Retirement","No",10024.485,89429.61,2461915.762,30432462.244,-26745611.31,0.55,0.55,0.55,0.54,0.54,NA,NA
"Lyons Small Cap C",TRUE," C","C","C",NA,2017-03-28,3,2017,2015-12-31,12,2015,"Liquidated","U.S. Equity","Lyons",2015-12-31,2017-03-28,53858,"C","No",NA,NA,NA,NA,NA,NA,2.25,NA,NA,NA,2015-12-31,0
"AMG Managers Amundi Short Duration Gov I",TRUE," I","I","Instl",NA,2019-11-18,11,2019,2017-02-24,2,2017,"Liquidated","Taxable Bond","AMG Funds",2017-02-24,2019-11-18,20307182,"Inst","No",NA,NA,23402089.777,9361323.664,NA,NA,NA,0.62,0.64,NA,2017-02-24,0
"Russell Inv Multi-Asset Growth Strat S",TRUE," S","S","S","RMGSX",NA,NA,NA,2017-03-07,3,2017,NA,"Allocation","Russell",2017-03-07,2020-01-21,1545228129,"S","No",NA,NA,1542951285.399,530950414.893,-612581961.158,NA,NA,1.01,0.93,0.93,NA,NA
"USA Mutuals/WaveFrt Hdg Qntmtl Opps Inst",TRUE," Inst","Inst","Instl",NA,2019-03-29,3,2019,2017-10-16,10,2017,"Liquidated","Alternative","USA Mutuals",2017-10-16,2019-03-29,5964262,"Inst","No",NA,NA,8392337.172,-739809.415,NA,NA,NA,NA,1.29,NA,2017-10-16,0
"Thrivent High Inc Muncpl Bd S",TRUE," S","S","S","THMBX",NA,NA,NA,2018-02-28,2,2018,NA,"Municipal Bond","Thrivent Funds",2018-02-28,2020-01-21,17032686,"No Load","No",NA,NA,NA,6945763.716,8647978.12,NA,NA,NA,0.43,0.66,NA,NA
"James Alpha Hedged High Income S",TRUE," S","S","S","INCSX",NA,NA,NA,2017-08-17,8,2017,NA,"Alternative","James Alpha Advisors",2017-08-17,2020-01-21,21643400,"S","No",NA,NA,11494680.676,22114048.513,-10736486.153,NA,NA,1.99,1.51,1.68,NA,NA
"Columbia Strategic Municipal Inc T",TRUE," T","T","T",NA,2018-12-14,12,2018,2017-04-03,4,2017,"Merged","Municipal Bond","Columbia",2017-04-03,2018-12-14,9904,"T","No",NA,NA,9811.763,-279.711,NA,NA,NA,0.82,0.8,NA,2017-04-03,0
"Diamond Hill Short Duration Total Ret I",TRUE," I","I","Instl","DHEIX",NA,NA,NA,2016-07-05,7,2016,NA,"Taxable Bond","Diamond Hill Funds",2016-07-05,2020-01-21,572796757,"Inst","No",NA,14705805.537,45256126.189,244120749.457,203046219.378,NA,0.53,0.53,0.52,NA,NA,NA
"ALPS / Metis Global Micro Cap Value C",TRUE," C","C","C",NA,2018-10-26,10,2018,2015-12-23,12,2015,"Liquidated","International Equity","ALPS",2015-12-23,2018-10-26,352366,"C","No",25034,322067.449,309935.392,NA,NA,NA,2.7,2.7,NA,NA,2015-12-23,0
"Ziegler Senior Floating Rate C",TRUE," C","C","C","ZFLCX",NA,NA,NA,2016-04-01,4,2016,NA,"Taxable Bond","Ziegler",2016-04-01,2020-01-21,9334322,"C","No",NA,385656.643,267355.044,3221999.375,5259770.464,NA,1.74,1.74,1.74,1.74,NA,NA
"Lord Abbett Global Equity Research F",TRUE," F","F","F","LGCFX",NA,NA,NA,2017-01-18,1,2017,NA,"International Equity","Lord Abbett",2017-01-18,2020-01-21,1448772,"Other","No",NA,NA,1030164.175,33015.798,-24390.359,NA,NA,0.9,0.82,0.75,NA,NA
"Voya Global Corporate Leaders® 100 I",TRUE," I","I","Instl","VGDIX",NA,NA,NA,2016-12-06,12,2016,NA,"International Equity","Voya",2016-12-06,2020-01-21,2166562,"Inst","No",NA,1524084,5992.143,11862.116,10355.62,NA,NA,0.56,0.56,0.56,NA,NA
"Lord Abbett Bond Debenture R4",TRUE," R4","R4","R4","LBNSX",NA,NA,NA,2015-06-30,6,2015,NA,"Taxable Bond","Lord Abbett",2015-06-30,2020-01-21,50223903,"Retirement","No",212926.813,1798297.788,6123064.781,11178252.117,26531314.448,0.87,0.86,0.86,0.84,NA,NA,NA
"Manning & Napier Quality Equity I",TRUE," I","I","Instl",NA,2018-03-09,3,2018,2015-06-01,6,2015,"Liquidated","International Equity","Manning & Napier",2015-06-01,2018-03-09,662664,"Inst","No",487999.482,521.112,18580.741,NA,NA,0.7,0.7,0.7,NA,NA,2015-06-01,0
"Zevenbergen Growth Institutional",TRUE," Institutional","Institutional","Instl","ZVNIX",NA,NA,NA,2015-08-31,8,2015,NA,"U.S. Equity","Zevenbergen Capital Investments",2015-08-31,2020-01-21,18610883,"Inst","No",1530541.019,2495037.52,1874674.493,2402991.927,2666124.749,NA,1,1,1,1,NA,NA
"Delaware Small Cap Core R6",TRUE," R6","R6","R6","DCZRX",NA,NA,NA,2016-05-02,5,2016,NA,"U.S. Equity","Delaware Funds by Macquarie",2016-05-02,2020-01-21,702300900,"Retirement","No",NA,5158045.845,42706621.246,377534104.086,212020492.313,NA,0.82,0.79,0.74,NA,NA,NA
"Pioneer Global Equity R",TRUE," R","R","R","PRGEX",NA,NA,NA,2015-07-01,7,2015,NA,"International Equity","Pioneer Investments",2015-07-01,2020-01-21,16463052,"Retirement","No",8128034.644,6745788.006,-11220898.197,-7919940.307,-3394472.048,1.38,1.55,1.55,1.55,1.55,NA,NA
"MFS SC Municipal Bond R6",TRUE," R6","R6","R6","MPOCX",NA,NA,NA,2017-08-01,8,2017,NA,"Municipal Bond","MFS",2017-08-01,2020-01-21,8761596,"Retirement","No",NA,NA,50105.753,3096241.715,4899770.399,NA,NA,NA,0.52,0.52,NA,NA
"Fiera Capital International Equity Instl",TRUE," Instl","Instl","Instl","FCIUX",NA,NA,NA,2017-09-29,9,2017,NA,"International Equity","Fiera Capital",2017-09-29,2020-01-21,68306690,"Inst","No",NA,NA,NA,29295566.169,24624217.415,NA,NA,NA,1,1,NA,NA
"Invesco SteelPath MLP & Energy InfrastR6",TRUE," InfrastR6","InfrastR6","R6",NA,2019-10-30,10,2019,2017-11-06,11,2017,"Liquidated","Sector Equity","Invesco",2017-11-06,2019-10-30,9358522,"Inst","No",NA,NA,9848719.925,590710.645,NA,NA,NA,NA,0.93,NA,2017-11-06,0
"American Funds Inflation Linked Bd R2E",TRUE," R2E","R2E","R2E","RILGX",NA,NA,NA,2015-01-23,1,2015,NA,"Taxable Bond","American Funds",2015-01-23,2020-01-21,1631029,"Retirement","No",10047.627,617960.225,175724.344,89701.283,704357.908,0.72,0.94,1.21,1.18,NA,NA,NA
"Victory RS International A{mg}",TRUE," A{mg}","A","A",NA,2016-08-01,8,2016,2016-06-16,6,2016,"Merged",NA,"Victory",2016-06-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-16,1
"State Street US Value Spotlight K",TRUE," K","K","K",NA,2018-12-07,12,2018,2016-09-22,9,2016,"Liquidated","U.S. Equity","State Street Global Advisors",2016-09-22,2018-12-07,1145921,"Retirement","No",NA,989097.08,-52526.973,-1143612.109,NA,NA,0.65,0.65,NA,NA,2016-09-22,0
"Carillon Reams Unconstrained Bond A",TRUE," A","A","A","SUBDX",NA,NA,NA,2017-11-20,11,2017,NA,"Taxable Bond","Carillon Family of Funds",2017-11-20,2020-01-21,475778,"A","No",NA,NA,10017.88,158973.699,313818.363,NA,NA,NA,0.8,0.8,NA,NA
"WCM Small Cap Growth Investor",TRUE," Investor","Investor","Investor","WCMNX",NA,NA,NA,2019-10-31,10,2019,NA,"U.S. Equity","WCM Investment Management",2019-10-31,2020-01-21,36225,"Inv","No",NA,NA,NA,NA,9926.761,NA,NA,NA,NA,NA,NA,NA
"PIMCO Gurtin Ca Muncpl Itmt Val Insl{mg}",TRUE," Insl{mg}","Insl","Instl",NA,2019-03-18,3,2019,2019-01-02,1,2019,"Merged",NA,"PIMCO",2019-01-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-02,1
"Invesco Oppenheimer Intl Eq R6 {mg}",TRUE," R6 {mg}","R6","R6",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","International Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"GMO US Small Cap Value VI",TRUE," VI","VI","Instl","GCAVX",NA,NA,NA,2019-07-02,7,2019,NA,"U.S. Equity","GMO",2019-07-02,2020-01-21,482235117,"Other","No",NA,NA,NA,NA,433851625.541,NA,NA,NA,NA,NA,NA,NA
"Invesco Oppenheimer Intl Eq C {mg}",TRUE," C {mg}","C","C",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","International Equity","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"InvescoOppenheimerPtfSer:CnsvInvA{MG}",TRUE,"InvescoOppenheimerPtfSer:CnsvInvA{MG}","InvescoOppenheimerPtfSer:CnsvInvA","A",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Allocation","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Principal Edge MidCap A",TRUE," A","A","A","PEMCX",NA,NA,NA,2018-12-31,12,2018,NA,"U.S. Equity","Principal Funds",2018-12-31,2020-01-21,11052337,"A","No",NA,NA,NA,10000,9105763.606,NA,NA,NA,NA,1.1,NA,NA
"Putnam Europe Equity R6",TRUE," R6","R6","R6",NA,2019-06-21,6,2019,2018-05-22,5,2018,"Merged","International Equity","Putnam",2018-05-22,2019-05-31,3218775,"Retirement","No",NA,NA,NA,3814008.757,NA,NA,NA,NA,0.09,NA,2018-05-22,0
"Buffalo Flexible Income Institutional",TRUE," Institutional","Institutional","Instl","BUIBX",NA,NA,NA,2019-07-01,7,2019,NA,"Allocation","Buffalo",2019-07-01,2020-01-21,186401979,"Inst","No",NA,NA,NA,NA,178801563.984,NA,NA,NA,NA,NA,NA,NA
"Buffalo Mid Cap Institutional",TRUE," Institutional","Institutional","Instl","BUIMX",NA,NA,NA,2019-07-01,7,2019,NA,"U.S. Equity","Buffalo",2019-07-01,2020-01-21,61787835,"Inst","No",NA,NA,NA,NA,57702892.895,NA,NA,NA,NA,NA,NA,NA
"American Funds International Vntg R-3",TRUE," R-3","R3","R3","RIVIX",NA,NA,NA,2019-11-08,11,2019,NA,"International Equity","American Funds",2019-11-08,2020-01-21,9954,"Retirement","No",NA,NA,NA,NA,9543.731,NA,NA,NA,NA,NA,NA,NA
"American Funds International Vntg 529F-1",TRUE," 529F-1","529F1","529F1","CIVKX",NA,NA,NA,2019-11-08,11,2019,NA,"International Equity","American Funds",2019-11-08,2020-01-21,53908,"Other","No",NA,NA,NA,NA,29892.126,NA,NA,NA,NA,NA,NA,NA
"American Funds Global Insight R-2E",TRUE," R-2E","R","R","RGLHX",NA,NA,NA,2019-11-08,11,2019,NA,"International Equity","American Funds",2019-11-08,2020-01-21,10335,"Retirement","No",NA,NA,NA,NA,9845.282,NA,NA,NA,NA,NA,NA,NA
"American Funds International Vntg R-2",TRUE," R-2","R2","R2","RIVDX",NA,NA,NA,2019-11-08,11,2019,NA,"International Equity","American Funds",2019-11-08,2020-01-21,9952,"Retirement","No",NA,NA,NA,NA,9546.952,NA,NA,NA,NA,NA,NA,NA
"American Funds Global Insight R-2",TRUE," R-2","R2","R2","RGLBX",NA,NA,NA,2019-11-08,11,2019,NA,"International Equity","American Funds",2019-11-08,2020-01-21,10333,"Retirement","No",NA,NA,NA,NA,9846.27,NA,NA,NA,NA,NA,NA,NA
"American Funds International Vntg 529-C",TRUE," 529-C","529C","529C","CIVBX",NA,NA,NA,2019-11-08,11,2019,NA,"International Equity","American Funds",2019-11-08,2020-01-21,13426,"C","No",NA,NA,NA,NA,10116.126,NA,NA,NA,NA,NA,NA,NA
"JPMorgan Equity Premium Income R5",TRUE," R5","R5","R5","JEPSX",NA,NA,NA,2018-08-31,8,2018,NA,"Alternative","JPMorgan",2018-08-31,2020-01-21,22873,"Retirement","No",NA,NA,NA,NA,1748.338,NA,NA,NA,NA,0.45,NA,NA
"Putnam Global Technology R6",TRUE," R6","R6","R6","PTTEX",NA,NA,NA,2018-05-22,5,2018,NA,"Sector Equity","Putnam",2018-05-22,2019-12-31,14250212,"Retirement","No",NA,NA,NA,9998312.659,2305336.667,NA,NA,NA,0.22,0.77,NA,NA
"Putnam Floating Rate Income R6",TRUE," R6","R6","R6","PFRZX",NA,NA,NA,2018-05-22,5,2018,NA,"Taxable Bond","Putnam",2018-05-22,2019-12-31,5741593,"Retirement","No",NA,NA,NA,7443738.249,-1798088.191,NA,NA,NA,NA,0.53,NA,NA
"Wells Fargo Global Invmt Grd Crdt Instl",TRUE," Instl","Instl","Instl","WGCIX",NA,NA,NA,2019-02-28,2,2019,NA,"Taxable Bond","Wells Fargo Funds",2019-02-28,2020-01-21,26612,"Inst","No",NA,NA,NA,NA,24700.419,NA,NA,NA,NA,0.5,NA,NA
"Barings Global Emerging Markets Eq I",TRUE," I","I","Instl","BXQIX",NA,NA,NA,2018-09-17,9,2018,NA,"International Equity","Barings Funds",2018-09-17,2020-01-21,5734002,"Inst","No",NA,NA,NA,5078996.266,-158613.982,NA,NA,NA,NA,1.2,NA,NA
"MainStay MacKay Intmdt Tx Fr Bd I",TRUE," I","I","Instl","MTFGX",NA,NA,NA,2019-06-28,6,2019,NA,"Municipal Bond","MainStay",2019-06-28,2020-01-21,52956860,"Inst","No",NA,NA,NA,NA,51722481.23,NA,NA,NA,NA,NA,NA,NA
"AlphaCentric Symmetry Strategy C",TRUE," C","C","C","SYMCX",NA,NA,NA,2019-08-08,8,2019,NA,"Allocation","AlphaCentric Funds",2019-08-08,2020-01-21,992,"C","No",NA,NA,NA,NA,990.164,NA,NA,NA,NA,NA,NA,NA
"Delaware for Income R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,2019-07-02,7,2019,"Merged",NA,"Delaware Management Company",2019-07-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,1
"Delaware Covered Call Strat A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,2019-07-02,7,2019,"Merged",NA,"Delaware Management Company",2019-07-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,1
"Delaware Investment Grade A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,2019-07-02,7,2019,"Merged",NA,"Delaware Management Company",2019-07-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,1
"Delaware International Opps Bd R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,2019-07-02,7,2019,"Merged",NA,"Delaware Management Company",2019-07-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,1
"Delaware Strategic Income II Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,2019-07-02,7,2019,"Merged",NA,"Delaware Management Company",2019-07-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,1
"Delaware Tax-Free Oregon Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,2019-07-02,7,2019,"Merged",NA,"Delaware Funds by Macquarie",2019-07-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,1
"Delaware for Income A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,2019-07-02,7,2019,"Merged",NA,"Delaware Management Company",2019-07-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,1
"Delaware Hedged U.S. Eq Opps Instl{mg}",TRUE," Instl{mg}","Instl","Instl",NA,2019-10-04,10,2019,2019-07-02,7,2019,"Merged",NA,"Delaware Management Company",2019-07-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,1
"Delaware Hedged U.S. Eq Opps R6{mg}",TRUE," R6{mg}","R6","R6",NA,2019-10-04,10,2019,2019-07-02,7,2019,"Merged",NA,"Delaware Management Company",2019-07-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,1
"Global Tactical Institutional",TRUE," Institutional","Institutional","Instl","GIVYX",NA,NA,NA,2019-12-04,12,2019,NA,"International Equity","Greenwich Ivy Capital",2019-12-04,NA,NA,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RMB Dividend Growth I{mg}",TRUE," I{mg}","I","Instl",NA,2019-06-21,6,2019,2019-06-20,6,2019,"Merged",NA,"RMB Funds",2019-06-20,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-20,1
"RMB SMID Cap I{mg}",TRUE," I{mg}","I","Instl",NA,2019-06-21,6,2019,2019-06-20,6,2019,"Merged",NA,"RMB Funds",2019-06-20,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-20,1
"JPMorgan International Hedged Equity C",TRUE," C","C","C","JIHCX",NA,NA,NA,2019-03-15,3,2019,NA,"Alternative","JPMorgan",2019-03-15,2020-01-21,123092,"C","No",NA,NA,NA,NA,118271.158,NA,NA,NA,NA,1.35,NA,NA
"Frost Global Bond Investor",TRUE," Investor","Investor","Investor","FRVGX",NA,NA,NA,2019-10-31,10,2019,NA,"Taxable Bond","Frost Funds",2019-10-31,2020-01-21,100,"Inv","No",NA,NA,NA,NA,100.06,NA,NA,NA,NA,NA,NA,NA
"Vaughan Nelson International Sm Cap Inv",TRUE," Inv","Inv","Investor","ADVJX",NA,NA,NA,2019-12-02,12,2019,NA,"International Equity","Vaughan Nelson",2019-12-02,2020-01-21,2588,"Inv","No",NA,NA,NA,NA,2621,NA,NA,NA,NA,NA,NA,NA
"Ivy Municipal Bond N",TRUE," N","N","N","IMBNX",NA,NA,NA,2017-07-05,7,2017,NA,"Municipal Bond","Ivy Funds",2017-07-05,2019-12-31,816331,"N","No",NA,NA,404866.654,189969.405,182976.513,NA,NA,NA,0.6,0.59,NA,NA
"Invesco Oppenheimer Pref Scs and Inc Y",TRUE," Y","Y","Y",NA,2019-10-30,10,2019,2018-02-12,2,2018,"Liquidated","Taxable Bond","Invesco",2018-02-12,2019-10-30,234264,"Inst","No",NA,NA,NA,400874.302,NA,NA,NA,NA,0.94,NA,2018-02-12,0
"RQSI GAA Systematic Global Macro Retail",TRUE," Retail","Retail","Retail","RQSRX",NA,NA,NA,2018-03-08,3,2018,NA,"Allocation","RQSI",2018-03-08,2020-01-21,3452012,"Retirement","No",NA,NA,NA,2747836.959,464459.138,NA,NA,NA,2.74,2.21,NA,NA
"JHancock Emerging Markets Equity R4",TRUE," R4","R4","R4","JEMNX",NA,NA,NA,2015-06-16,6,2015,NA,"International Equity","John Hancock",2015-06-16,2020-01-21,62475,"Retirement","No",99957.652,-346.073,-65609.775,571.178,-164.797,1.35,1.31,1.26,1.2,1.17,NA,NA
"JPMorgan Growth Advantage R2",TRUE," R2","R2","R2","JGRJX",NA,NA,NA,2017-07-31,7,2017,NA,"U.S. Equity","JPMorgan",2017-07-31,2020-01-21,144717,"Retirement","No",NA,NA,NA,29180.157,62440.343,NA,NA,NA,1.41,1.39,NA,NA
"JPMorgan Small Cap Growth R3",TRUE," R3","R3","R3","JGRQX",NA,NA,NA,2017-07-31,7,2017,NA,"U.S. Equity","JPMorgan",2017-07-31,2020-01-21,4566653,"Retirement","No",NA,NA,NA,770687.301,2593260.874,NA,NA,NA,1.23,1.24,NA,NA
"T. Rowe Price Small-Cap Stock I",TRUE," I","I","Instl","OTIIX",NA,NA,NA,2015-08-28,8,2015,NA,"U.S. Equity","T. Rowe Price",2015-08-28,2020-01-21,2390819318,"Inst","No",48521386.373,567928076.172,283468380.468,878961638.191,196553991.132,0.78,0.75,0.75,0.75,NA,NA,NA
"AI Large Cap Growth A",TRUE," A","A","A",NA,2017-10-19,10,2017,2015-07-13,7,2015,"Liquidated","U.S. Equity","American Independence",2015-07-13,2017-10-19,1184785,"A","No",4308158.244,-2414621.167,NA,NA,NA,1.35,1.47,NA,NA,NA,2015-07-13,0
"Ziegler Senior Floating Rate A",TRUE," A","A","A","ZFLAX",NA,NA,NA,2016-04-01,4,2016,NA,"Taxable Bond","Ziegler",2016-04-01,2020-01-21,5376602,"A","No",NA,182367.048,48528.647,8815706.816,-3975450.154,NA,0.99,0.99,0.99,0.99,NA,NA
"SEI World Select Equity (SIIT) A",TRUE," A","A","A","SWSAX",NA,NA,NA,2017-06-30,6,2017,NA,"International Equity","SEI",2017-06-30,2020-01-21,651857370,"Other","No",NA,NA,1078346314.831,38593559.21,-569647495.087,NA,NA,NA,0.3,0.31,NA,NA
"Invesco Opp SteelPath Panoramic R",TRUE," R","R","R",NA,2019-10-30,10,2019,2015-11-18,11,2015,"Liquidated","Sector Equity","Invesco",2015-11-18,2019-10-30,607834,"Retirement","No",36495,679605.007,725488.258,264420.504,NA,NA,1.8,1.8,1.8,NA,2015-11-18,0
"Manning & Napier Rainier Intl Discv Z",TRUE," Z","Z","Z","RAIRX",NA,NA,NA,2017-08-21,8,2017,NA,"International Equity","Manning & Napier",2017-08-21,2020-01-21,250872484,"Inst","No",NA,NA,31587.236,191961159.956,45304419.058,NA,NA,1,1,1,NA,NA
